Club,Elo,Fecha
Monza,1657.26574707,2023-09-27
Sassuolo,1654.98986816,2023-09-27
Lyon,1652.88110352,2023-09-27
Bournemouth,1649.24035645,2023-09-27
Osasuna,1648.53955078,2023-09-27
Getafe,1641.77148438,2023-09-27
Köln,1639.44482422,2023-09-27
Mainz 05,1638.33410645,2023-09-27
Mallorca,1634.21020508,2023-09-27
Celta Vigo,1634.05273438,2023-09-27
Cádiz,1633.9979248,2023-09-27
Udinese,1633.47009277,2023-09-27
Rayo Vallecano,1632.39086914,2023-09-27
Reims,1624.41833496,2023-09-27
Hellas Verona,1621.08483887,2023-09-27
Strasbourg,1617.46643066,2023-09-27
Frosinone,1616.98693848,2023-09-27
Lecce,1616.21411133,2023-09-27
Brest,1612.97058105,2023-09-27
Montpellier,1611.88085938,2023-09-27
Werder Bremen,1610.60791016,2023-09-27
Sheffield Utd,1610.58959961,2023-09-27
Bochum,1603.97961426,2023-09-27
Genoa,1598.45227051,2023-09-27
Salernitana,1594.05908203,2023-09-27
Augsburg,1592.94946289,2023-09-27
Empoli,1592.89196777,2023-09-27
Toulouse,1584.01928711,2023-09-27
Luton Town,1583.69873047,2023-09-27
Granada,1579.68811035,2023-09-27
Lorient,1578.79589844,2023-09-27
Alavés,1578.66552734,2023-09-27
Almería,1576.93225098,2023-09-27
Heidenheim,1573.3614502,2023-09-27
Cagliari,1568.85021973,2023-09-27
Las Palmas,1566.19226074,2023-09-27
Metz,1559.69165039,2023-09-27
Clermont Foot,1553.67724609,2023-09-27
Nantes,1552.8503418,2023-09-27
Darmstadt 98,1537.19396973,2023-09-27
Le Havre,1520.09326172,2023-09-27
Manchester City,2085.76000977,2023-09-28
Liverpool,1965.25390625,2023-09-28
Bayern Munich,1949.2286377,2023-09-28
Arsenal,1926.77978516,2023-09-28
Real Madrid,1908.55627441,2023-09-28
Napoli,1898.05761719,2023-09-28
Inter,1897.04492188,2023-09-28
Newcastle Utd,1875.67468262,2023-09-28
Barcelona,1874.27001953,2023-09-28
RB Leipzig,1854.89953613,2023-09-28
Milan,1849.07141113,2023-09-28
Tottenham,1845.82299805,2023-09-28
Atlético Madrid,1843.80065918,2023-09-28
Manchester Utd,1841.55834961,2023-09-28
Dortmund,1837.59594727,2023-09-28
Brighton,1834.3302002,2023-09-28
Paris S-G,1829.38977051,2023-09-28
Aston Villa,1823.08325195,2023-09-28
Juventus,1806.79724121,2023-09-28
Brentford,1795.00854492,2023-09-28
West Ham,1792.26599121,2023-09-28
Leverkusen,1789.57800293,2023-09-28
Roma,1779.36682129,2023-09-28
Real Sociedad,1778.51635742,2023-09-28
Atalanta,1773.05078125,2023-09-28
Lazio,1765.67944336,2023-09-28
Fiorentina,1764.58874512,2023-09-28
Chelsea,1756.80310059,2023-09-28
Crystal Palace,1751.20825195,2023-09-28
Fulham,1734.68920898,2023-09-28
Sevilla,1730.21411133,2023-09-28
Lens,1726.05627441,2023-09-28
Freiburg,1725.14624023,2023-09-28
Union Berlin,1719.14855957,2023-09-28
Eint Frankfurt,1719.11352539,2023-09-28
Athletic Club,1718.62145996,2023-09-28
Wolfsburg,1718.06616211,2023-09-28
Rennes,1715.91784668,2023-09-28
Girona,1715.62182617,2023-09-28
Betis,1713.27307129,2023-09-28
Villarreal,1713.1217041,2023-09-28
Bologna,1706.68762207,2023-09-28
Marseille,1700.59643555,2023-09-28
Torino,1695.15380859,2023-09-28
Wolves,1694.0802002,2023-09-28
Lille,1693.00622559,2023-09-28
Nice,1692.66516113,2023-09-28
Burnley,1690.84106445,2023-09-28
Everton,1689.36791992,2023-09-28
Hoffenheim,1685.0769043,2023-09-28
Monaco,1681.22619629,2023-09-28
Stuttgart,1678.24230957,2023-09-28
Nott'ham Forest,1677.82531738,2023-09-28
Sassuolo,1669.91564941,2023-09-28
Gladbach,1663.40734863,2023-09-28
Valencia,1662.27294922,2023-09-28
Monza,1657.26574707,2023-09-28
Lyon,1652.88110352,2023-09-28
Bournemouth,1649.24035645,2023-09-28
Osasuna,1648.53955078,2023-09-28
Getafe,1646.12695312,2023-09-28
Köln,1639.44482422,2023-09-28
Mainz 05,1638.33410645,2023-09-28
Rayo Vallecano,1634.72338867,2023-09-28
Mallorca,1634.21020508,2023-09-28
Celta Vigo,1634.05273438,2023-09-28
Cádiz,1631.66540527,2023-09-28
Udinese,1629.9050293,2023-09-28
Reims,1624.41833496,2023-09-28
Strasbourg,1617.46643066,2023-09-28
Frosinone,1616.98693848,2023-09-28
Lecce,1616.21411133,2023-09-28
Hellas Verona,1615.66625977,2023-09-28
Brest,1612.97058105,2023-09-28
Montpellier,1611.88085938,2023-09-28
Werder Bremen,1610.60791016,2023-09-28
Sheffield Utd,1610.58959961,2023-09-28
Bochum,1603.97961426,2023-09-28
Empoli,1599.86083984,2023-09-28
Genoa,1598.45227051,2023-09-28
Augsburg,1592.94946289,2023-09-28
Salernitana,1587.09020996,2023-09-28
Toulouse,1584.01928711,2023-09-28
Luton Town,1583.69873047,2023-09-28
Granada,1579.68811035,2023-09-28
Lorient,1578.79589844,2023-09-28
Alavés,1578.66552734,2023-09-28
Almería,1576.93225098,2023-09-28
Heidenheim,1573.3614502,2023-09-28
Las Palmas,1564.67565918,2023-09-28
Cagliari,1564.53552246,2023-09-28
Metz,1559.69165039,2023-09-28
Clermont Foot,1553.67724609,2023-09-28
Nantes,1552.8503418,2023-09-28
Darmstadt 98,1537.19396973,2023-09-28
Le Havre,1520.09326172,2023-09-28
Manchester City,2085.76000977,2023-09-29
Liverpool,1965.25390625,2023-09-29
Bayern Munich,1949.2286377,2023-09-29
Arsenal,1926.77978516,2023-09-29
Real Madrid,1908.55627441,2023-09-29
Napoli,1898.05761719,2023-09-29
Inter,1897.04492188,2023-09-29
Newcastle Utd,1875.67468262,2023-09-29
Barcelona,1874.27001953,2023-09-29
RB Leipzig,1854.89953613,2023-09-29
Atlético Madrid,1851.10949707,2023-09-29
Milan,1849.07141113,2023-09-29
Tottenham,1845.82299805,2023-09-29
Manchester Utd,1841.55834961,2023-09-29
Dortmund,1837.59594727,2023-09-29
Brighton,1834.3302002,2023-09-29
Paris S-G,1829.38977051,2023-09-29
Aston Villa,1823.08325195,2023-09-29
Juventus,1806.79724121,2023-09-29
Brentford,1795.00854492,2023-09-29
West Ham,1792.26599121,2023-09-29
Leverkusen,1789.57800293,2023-09-29
Real Sociedad,1778.51635742,2023-09-29
Atalanta,1773.05078125,2023-09-29
Lazio,1765.67944336,2023-09-29
Fiorentina,1761.71386719,2023-09-29
Roma,1759.20507812,2023-09-29
Chelsea,1756.80310059,2023-09-29
Crystal Palace,1751.20825195,2023-09-29
Fulham,1734.68920898,2023-09-29
Sevilla,1730.21411133,2023-09-29
Lens,1726.05627441,2023-09-29
Freiburg,1725.14624023,2023-09-29
Union Berlin,1719.14855957,2023-09-29
Eint Frankfurt,1719.11352539,2023-09-29
Athletic Club,1718.62145996,2023-09-29
Wolfsburg,1718.06616211,2023-09-29
Rennes,1715.91784668,2023-09-29
Girona,1715.62182617,2023-09-29
Villarreal,1713.1217041,2023-09-29
Betis,1711.72070312,2023-09-29
Bologna,1706.55517578,2023-09-29
Marseille,1700.59643555,2023-09-29
Torino,1695.15380859,2023-09-29
Wolves,1694.0802002,2023-09-29
Lille,1693.00622559,2023-09-29
Nice,1692.66516113,2023-09-29
Burnley,1690.84106445,2023-09-29
Everton,1689.36791992,2023-09-29
Hoffenheim,1685.0769043,2023-09-29
Monaco,1681.22619629,2023-09-29
Stuttgart,1678.24230957,2023-09-29
Nott'ham Forest,1677.82531738,2023-09-29
Sassuolo,1669.91564941,2023-09-29
Gladbach,1663.40734863,2023-09-29
Valencia,1662.27294922,2023-09-29
Monza,1657.39819336,2023-09-29
Lyon,1652.88110352,2023-09-29
Bournemouth,1649.24035645,2023-09-29
Getafe,1646.12695312,2023-09-29
Osasuna,1641.23059082,2023-09-29
Köln,1639.44482422,2023-09-29
Mainz 05,1638.33410645,2023-09-29
Rayo Vallecano,1634.72338867,2023-09-29
Mallorca,1634.21020508,2023-09-29
Cádiz,1631.66540527,2023-09-29
Celta Vigo,1630.36157227,2023-09-29
Udinese,1629.9050293,2023-09-29
Reims,1624.41833496,2023-09-29
Frosinone,1619.86193848,2023-09-29
Genoa,1618.61401367,2023-09-29
Strasbourg,1617.46643066,2023-09-29
Lecce,1616.21411133,2023-09-29
Hellas Verona,1615.66625977,2023-09-29
Brest,1612.97058105,2023-09-29
Montpellier,1611.88085938,2023-09-29
Werder Bremen,1610.60791016,2023-09-29
Sheffield Utd,1610.58959961,2023-09-29
Bochum,1603.97961426,2023-09-29
Empoli,1599.86083984,2023-09-29
Augsburg,1592.94946289,2023-09-29
Salernitana,1587.09020996,2023-09-29
Toulouse,1584.01928711,2023-09-29
Luton Town,1583.69873047,2023-09-29
Alavés,1582.35656738,2023-09-29
Granada,1581.24060059,2023-09-29
Lorient,1578.79589844,2023-09-29
Almería,1576.93225098,2023-09-29
Heidenheim,1573.3614502,2023-09-29
Las Palmas,1564.67565918,2023-09-29
Cagliari,1564.53552246,2023-09-29
Metz,1559.69165039,2023-09-29
Clermont Foot,1553.67724609,2023-09-29
Nantes,1552.8503418,2023-09-29
Darmstadt 98,1537.19396973,2023-09-29
Le Havre,1520.09326172,2023-09-29
Manchester City,2085.76000977,2023-09-30
Liverpool,1965.25390625,2023-09-30
Bayern Munich,1949.2286377,2023-09-30
Arsenal,1926.77978516,2023-09-30
Real Madrid,1908.55627441,2023-09-30
Napoli,1898.05761719,2023-09-30
Inter,1897.04492188,2023-09-30
Barcelona,1877.36975098,2023-09-30
Newcastle Utd,1875.67468262,2023-09-30
RB Leipzig,1854.89953613,2023-09-30
Atlético Madrid,1851.10949707,2023-09-30
Milan,1849.07141113,2023-09-30
Tottenham,1845.82299805,2023-09-30
Dortmund,1845.52355957,2023-09-30
Manchester Utd,1841.55834961,2023-09-30
Brighton,1834.3302002,2023-09-30
Paris S-G,1829.38977051,2023-09-30
Aston Villa,1823.08325195,2023-09-30
Juventus,1806.79724121,2023-09-30
Brentford,1795.00854492,2023-09-30
West Ham,1792.26599121,2023-09-30
Leverkusen,1789.57800293,2023-09-30
Real Sociedad,1778.51635742,2023-09-30
Atalanta,1773.05078125,2023-09-30
Lazio,1765.67944336,2023-09-30
Fiorentina,1761.71386719,2023-09-30
Roma,1759.20507812,2023-09-30
Chelsea,1756.80310059,2023-09-30
Crystal Palace,1751.20825195,2023-09-30
Fulham,1734.68920898,2023-09-30
Lens,1732.47644043,2023-09-30
Sevilla,1727.11437988,2023-09-30
Freiburg,1725.14624023,2023-09-30
Union Berlin,1719.14855957,2023-09-30
Eint Frankfurt,1719.11352539,2023-09-30
Athletic Club,1718.62145996,2023-09-30
Wolfsburg,1718.06616211,2023-09-30
Rennes,1715.91784668,2023-09-30
Girona,1715.62182617,2023-09-30
Villarreal,1713.1217041,2023-09-30
Betis,1711.72070312,2023-09-30
Bologna,1706.55517578,2023-09-30
Marseille,1700.59643555,2023-09-30
Torino,1695.15380859,2023-09-30
Wolves,1694.0802002,2023-09-30
Lille,1693.00622559,2023-09-30
Nice,1692.66516113,2023-09-30
Burnley,1690.84106445,2023-09-30
Everton,1689.36791992,2023-09-30
Monaco,1681.22619629,2023-09-30
Stuttgart,1678.24230957,2023-09-30
Nott'ham Forest,1677.82531738,2023-09-30
Hoffenheim,1677.14929199,2023-09-30
Sassuolo,1669.91564941,2023-09-30
Gladbach,1663.40734863,2023-09-30
Valencia,1662.27294922,2023-09-30
Monza,1657.39819336,2023-09-30
Lyon,1652.88110352,2023-09-30
Bournemouth,1649.24035645,2023-09-30
Getafe,1646.12695312,2023-09-30
Osasuna,1641.23059082,2023-09-30
Köln,1639.44482422,2023-09-30
Mainz 05,1638.33410645,2023-09-30
Rayo Vallecano,1634.72338867,2023-09-30
Mallorca,1634.21020508,2023-09-30
Cádiz,1631.66540527,2023-09-30
Celta Vigo,1630.36157227,2023-09-30
Udinese,1629.9050293,2023-09-30
Reims,1624.41833496,2023-09-30
Frosinone,1619.86193848,2023-09-30
Genoa,1618.61401367,2023-09-30
Lecce,1616.21411133,2023-09-30
Hellas Verona,1615.66625977,2023-09-30
Brest,1612.97058105,2023-09-30
Montpellier,1611.88085938,2023-09-30
Strasbourg,1611.04638672,2023-09-30
Werder Bremen,1610.60791016,2023-09-30
Sheffield Utd,1610.58959961,2023-09-30
Bochum,1603.97961426,2023-09-30
Empoli,1599.86083984,2023-09-30
Augsburg,1592.94946289,2023-09-30
Salernitana,1587.09020996,2023-09-30
Toulouse,1584.01928711,2023-09-30
Luton Town,1583.69873047,2023-09-30
Alavés,1582.35656738,2023-09-30
Granada,1581.24060059,2023-09-30
Lorient,1578.79589844,2023-09-30
Almería,1576.93225098,2023-09-30
Heidenheim,1573.3614502,2023-09-30
Las Palmas,1564.67565918,2023-09-30
Cagliari,1564.53552246,2023-09-30
Metz,1559.69165039,2023-09-30
Clermont Foot,1553.67724609,2023-09-30
Nantes,1552.8503418,2023-09-30
Darmstadt 98,1537.19396973,2023-09-30
Le Havre,1520.09326172,2023-09-30
Manchester City,2070.03344727,2023-10-01
Liverpool,1955.6451416,2023-10-01
Bayern Munich,1948.55541992,2023-10-01
Arsenal,1932.63427734,2023-10-01
Real Madrid,1917.38476562,2023-10-01
Napoli,1903.99975586,2023-10-01
Inter,1902.1138916,2023-10-01
Newcastle Utd,1879.91748047,2023-10-01
Barcelona,1877.36975098,2023-10-01
Milan,1856.02587891,2023-10-01
RB Leipzig,1855.57287598,2023-10-01
Tottenham,1855.4317627,2023-10-01
Atlético Madrid,1851.10949707,2023-10-01
Dortmund,1845.52355957,2023-10-01
Aston Villa,1838.93835449,2023-10-01
Manchester Utd,1829.90686035,2023-10-01
Paris S-G,1823.59899902,2023-10-01
Brighton,1818.47509766,2023-10-01
Juventus,1806.79724121,2023-10-01
Leverkusen,1799.62585449,2023-10-01
West Ham,1796.55725098,2023-10-01
Brentford,1795.00854492,2023-10-01
Real Sociedad,1786.74230957,2023-10-01
Atalanta,1773.05078125,2023-10-01
Crystal Palace,1762.85974121,2023-10-01
Fiorentina,1761.71386719,2023-10-01
Roma,1759.20507812,2023-10-01
Lazio,1758.72485352,2023-10-01
Chelsea,1756.80310059,2023-10-01
Fulham,1734.68920898,2023-10-01
Lens,1732.47644043,2023-10-01
Sevilla,1727.11437988,2023-10-01
Wolfsburg,1726.84765625,2023-10-01
Freiburg,1725.14624023,2023-10-01
Rennes,1715.91784668,2023-10-01
Villarreal,1713.47180176,2023-10-01
Betis,1711.72070312,2023-10-01
Athletic Club,1710.39550781,2023-10-01
Eint Frankfurt,1710.33203125,2023-10-01
Wolves,1709.8067627,2023-10-01
Union Berlin,1709.20593262,2023-10-01
Girona,1706.79333496,2023-10-01
Bologna,1706.55517578,2023-10-01
Torino,1695.15380859,2023-10-01
Marseille,1693.37390137,2023-10-01
Lille,1693.00622559,2023-10-01
Nice,1692.66516113,2023-10-01
Stuttgart,1690.8157959,2023-10-01
Monaco,1688.44873047,2023-10-01
Burnley,1686.5982666,2023-10-01
Nott'ham Forest,1677.82531738,2023-10-01
Everton,1677.27185059,2023-10-01
Hoffenheim,1677.14929199,2023-10-01
Gladbach,1675.07189941,2023-10-01
Sassuolo,1669.91564941,2023-10-01
Valencia,1662.27294922,2023-10-01
Monza,1657.39819336,2023-10-01
Lyon,1652.88110352,2023-10-01
Getafe,1645.77685547,2023-10-01
Bournemouth,1643.38586426,2023-10-01
Osasuna,1641.23059082,2023-10-01
Mallorca,1636.46411133,2023-10-01
Rayo Vallecano,1632.46948242,2023-10-01
Cádiz,1631.66540527,2023-10-01
Celta Vigo,1630.36157227,2023-10-01
Udinese,1629.9050293,2023-10-01
Mainz 05,1628.28625488,2023-10-01
Köln,1626.87133789,2023-10-01
Reims,1624.41833496,2023-10-01
Frosinone,1619.86193848,2023-10-01
Genoa,1618.61401367,2023-10-01
Hellas Verona,1615.66625977,2023-10-01
Brest,1612.97058105,2023-10-01
Montpellier,1611.88085938,2023-10-01
Strasbourg,1611.04638672,2023-10-01
Werder Bremen,1610.60791016,2023-10-01
Lecce,1610.27197266,2023-10-01
Sheffield Utd,1606.29833984,2023-10-01
Empoli,1599.86083984,2023-10-01
Luton Town,1595.79492188,2023-10-01
Augsburg,1592.94946289,2023-10-01
Bochum,1592.31506348,2023-10-01
Toulouse,1584.01928711,2023-10-01
Heidenheim,1583.30407715,2023-10-01
Alavés,1582.35656738,2023-10-01
Salernitana,1582.0213623,2023-10-01
Granada,1581.24060059,2023-10-01
Lorient,1578.79589844,2023-10-01
Almería,1576.93225098,2023-10-01
Las Palmas,1564.67565918,2023-10-01
Cagliari,1564.53552246,2023-10-01
Metz,1559.69165039,2023-10-01
Clermont Foot,1559.46801758,2023-10-01
Nantes,1552.8503418,2023-10-01
Darmstadt 98,1537.19396973,2023-10-01
Le Havre,1520.09326172,2023-10-01
Manchester City,2070.03344727,2023-10-02
Liverpool,1955.6451416,2023-10-02
Bayern Munich,1948.55541992,2023-10-02
Arsenal,1932.63427734,2023-10-02
Real Madrid,1917.38476562,2023-10-02
Napoli,1903.99975586,2023-10-02
Inter,1902.1138916,2023-10-02
Newcastle Utd,1879.91748047,2023-10-02
Barcelona,1877.36975098,2023-10-02
Milan,1856.02587891,2023-10-02
RB Leipzig,1855.57287598,2023-10-02
Tottenham,1855.4317627,2023-10-02
Atlético Madrid,1853.25354004,2023-10-02
Dortmund,1845.52355957,2023-10-02
Aston Villa,1838.93835449,2023-10-02
Manchester Utd,1829.90686035,2023-10-02
Paris S-G,1823.59899902,2023-10-02
Brighton,1818.47509766,2023-10-02
Juventus,1807.12060547,2023-10-02
Leverkusen,1799.62585449,2023-10-02
West Ham,1796.55725098,2023-10-02
Brentford,1792.95288086,2023-10-02
Real Sociedad,1786.74230957,2023-10-02
Atalanta,1772.72741699,2023-10-02
Roma,1764.60498047,2023-10-02
Crystal Palace,1762.85974121,2023-10-02
Fiorentina,1761.71386719,2023-10-02
Lazio,1758.72485352,2023-10-02
Chelsea,1756.80310059,2023-10-02
Fulham,1734.68920898,2023-10-02
Lens,1732.47644043,2023-10-02
Freiburg,1729.99291992,2023-10-02
Sevilla,1727.11437988,2023-10-02
Wolfsburg,1726.84765625,2023-10-02
Rennes,1720.55224609,2023-10-02
Betis,1720.29919434,2023-10-02
Bologna,1714.20617676,2023-10-02
Villarreal,1713.47180176,2023-10-02
Athletic Club,1710.39550781,2023-10-02
Eint Frankfurt,1710.33203125,2023-10-02
Wolves,1709.8067627,2023-10-02
Union Berlin,1709.20593262,2023-10-02
Girona,1706.79333496,2023-10-02
Lille,1700.16955566,2023-10-02
Torino,1695.15380859,2023-10-02
Marseille,1693.37390137,2023-10-02
Stuttgart,1690.8157959,2023-10-02
Nice,1689.15393066,2023-10-02
Monaco,1688.44873047,2023-10-02
Burnley,1686.5982666,2023-10-02
Nott'ham Forest,1679.88085938,2023-10-02
Everton,1677.27185059,2023-10-02
Hoffenheim,1677.14929199,2023-10-02
Gladbach,1675.07189941,2023-10-02
Sassuolo,1669.91564941,2023-10-02
Monza,1657.39819336,2023-10-02
Osasuna,1653.71704102,2023-10-02
Valencia,1653.69433594,2023-10-02
Getafe,1645.77685547,2023-10-02
Bournemouth,1643.38586426,2023-10-02
Lyon,1642.22595215,2023-10-02
Mallorca,1636.46411133,2023-10-02
Reims,1635.07348633,2023-10-02
Rayo Vallecano,1632.46948242,2023-10-02
Celta Vigo,1630.36157227,2023-10-02
Cádiz,1629.5213623,2023-10-02
Udinese,1628.29919434,2023-10-02
Mainz 05,1628.28625488,2023-10-02
Köln,1626.87133789,2023-10-02
Montpellier,1626.3125,2023-10-02
Genoa,1620.21972656,2023-10-02
Brest,1616.48181152,2023-10-02
Hellas Verona,1615.66625977,2023-10-02
Frosinone,1614.46203613,2023-10-02
Strasbourg,1611.04638672,2023-10-02
Lecce,1610.27197266,2023-10-02
Sheffield Utd,1606.29833984,2023-10-02
Werder Bremen,1599.25671387,2023-10-02
Luton Town,1595.79492188,2023-10-02
Toulouse,1594.71337891,2023-10-02
Bochum,1592.31506348,2023-10-02
Empoli,1592.20983887,2023-10-02
Augsburg,1588.1027832,2023-10-02
Granada,1583.38989258,2023-10-02
Heidenheim,1583.30407715,2023-10-02
Salernitana,1582.0213623,2023-10-02
Almería,1574.78295898,2023-10-02
Alavés,1569.87023926,2023-10-02
Las Palmas,1564.67565918,2023-10-02
Cagliari,1564.53552246,2023-10-02
Lorient,1564.36425781,2023-10-02
Clermont Foot,1559.46801758,2023-10-02
Metz,1548.99755859,2023-10-02
Darmstadt 98,1548.54516602,2023-10-02
Nantes,1548.21594238,2023-10-02
Le Havre,1512.92980957,2023-10-02
Manchester City,2076.61474609,2023-10-06
Liverpool,1957.49963379,2023-10-06
Real Madrid,1942.54846191,2023-10-06
Bayern Munich,1940.734375,2023-10-06
Arsenal,1921.52868652,2023-10-06
Inter,1907.91052246,2023-10-06
Barcelona,1901.34594727,2023-10-06
Napoli,1896.40490723,2023-10-06
Newcastle Utd,1888.61767578,2023-10-06
Atlético Madrid,1872.66479492,2023-10-06
Milan,1859.97192383,2023-10-06
Tottenham,1855.42382812,2023-10-06
Aston Villa,1839.22668457,2023-10-06
RB Leipzig,1838.46911621,2023-10-06
Dortmund,1833.15490723,2023-10-06
Brighton,1817.13549805,2023-10-06
Manchester Utd,1816.83776855,2023-10-06
Real Sociedad,1814.9329834,2023-10-06
Paris S-G,1812.31713867,2023-10-06
Juventus,1809.21252441,2023-10-06
West Ham,1804.75134277,2023-10-06
Leverkusen,1793.13696289,2023-10-06
Brentford,1792.94494629,2023-10-06
Atalanta,1784.42736816,2023-10-06
Chelsea,1769.16467285,2023-10-06
Roma,1769.00952148,2023-10-06
Lazio,1767.65869141,2023-10-06
Crystal Palace,1762.85180664,2023-10-06
Fiorentina,1760.59716797,2023-10-06
Sevilla,1746.01928711,2023-10-06
Lens,1741.00036621,2023-10-06
Betis,1739.64892578,2023-10-06
Villarreal,1734.84387207,2023-10-06
Athletic Club,1725.87243652,2023-10-06
Fulham,1722.31176758,2023-10-06
Girona,1722.27026367,2023-10-06
Wolfsburg,1716.33312988,2023-10-06
Bologna,1716.2980957,2023-10-06
Rennes,1712.08337402,2023-10-06
Freiburg,1711.27648926,2023-10-06
Wolves,1709.79882812,2023-10-06
Torino,1693.8059082,2023-10-06
Burnley,1693.55224609,2023-10-06
Marseille,1692.13183594,2023-10-06
Eint Frankfurt,1689.73937988,2023-10-06
Lille,1688.78088379,2023-10-06
Union Berlin,1687.57348633,2023-10-06
Nice,1686.5802002,2023-10-06
Monaco,1685.875,2023-10-06
Stuttgart,1680.30126953,2023-10-06
Nott'ham Forest,1679.8729248,2023-10-06
Everton,1677.26391602,2023-10-06
Osasuna,1669.19396973,2023-10-06
Valencia,1669.17126465,2023-10-06
Monza,1668.89733887,2023-10-06
Hoffenheim,1666.63476562,2023-10-06
Gladbach,1664.55749512,2023-10-06
Sassuolo,1662.6003418,2023-10-06
Getafe,1661.25378418,2023-10-06
Mallorca,1651.94104004,2023-10-06
Rayo Vallecano,1647.94641113,2023-10-06
Cádiz,1644.99816895,2023-10-06
Bournemouth,1643.37792969,2023-10-06
Lyon,1639.65222168,2023-10-06
Celta Vigo,1637.95837402,2023-10-06
Reims,1632.49963379,2023-10-06
Udinese,1630.39123535,2023-10-06
Montpellier,1623.73876953,2023-10-06
Genoa,1622.31164551,2023-10-06
Hellas Verona,1621.19812012,2023-10-06
Mainz 05,1617.77172852,2023-10-06
Frosinone,1616.55395508,2023-10-06
Köln,1616.35681152,2023-10-06
Brest,1613.90795898,2023-10-06
Lecce,1612.3638916,2023-10-06
Strasbourg,1608.47253418,2023-10-06
Sheffield Utd,1606.29040527,2023-10-06
Granada,1598.86682129,2023-10-06
Toulouse,1596.25891113,2023-10-06
Empoli,1594.30175781,2023-10-06
Almería,1590.2598877,2023-10-06
Luton Town,1588.82507324,2023-10-06
Werder Bremen,1588.7421875,2023-10-06
Las Palmas,1588.03271484,2023-10-06
Alavés,1585.34716797,2023-10-06
Salernitana,1584.11328125,2023-10-06
Bochum,1581.80053711,2023-10-06
Augsburg,1577.58837891,2023-10-06
Heidenheim,1572.78955078,2023-10-06
Lorient,1561.79040527,2023-10-06
Cagliari,1561.6842041,2023-10-06
Clermont Foot,1556.89416504,2023-10-06
Metz,1546.42382812,2023-10-06
Nantes,1545.64221191,2023-10-06
Darmstadt 98,1538.03063965,2023-10-06
Le Havre,1510.3560791,2023-10-06
Manchester City,2076.61474609,2023-10-07
Liverpool,1957.49963379,2023-10-07
Real Madrid,1942.54846191,2023-10-07
Bayern Munich,1940.734375,2023-10-07
Arsenal,1921.52868652,2023-10-07
Inter,1907.91052246,2023-10-07
Barcelona,1901.34594727,2023-10-07
Napoli,1896.40490723,2023-10-07
Newcastle Utd,1888.61767578,2023-10-07
Atlético Madrid,1872.66479492,2023-10-07
Milan,1859.97192383,2023-10-07
Tottenham,1855.42382812,2023-10-07
Aston Villa,1839.22668457,2023-10-07
RB Leipzig,1838.46911621,2023-10-07
Dortmund,1833.15490723,2023-10-07
Brighton,1817.13549805,2023-10-07
Manchester Utd,1816.83776855,2023-10-07
Real Sociedad,1814.9329834,2023-10-07
Paris S-G,1812.31713867,2023-10-07
Juventus,1809.21252441,2023-10-07
West Ham,1804.75134277,2023-10-07
Leverkusen,1793.13696289,2023-10-07
Brentford,1792.94494629,2023-10-07
Atalanta,1784.42736816,2023-10-07
Chelsea,1769.16467285,2023-10-07
Roma,1769.00952148,2023-10-07
Lazio,1767.65869141,2023-10-07
Crystal Palace,1762.85180664,2023-10-07
Fiorentina,1760.59716797,2023-10-07
Sevilla,1746.01928711,2023-10-07
Lens,1741.00036621,2023-10-07
Betis,1739.64892578,2023-10-07
Villarreal,1734.84387207,2023-10-07
Athletic Club,1731.45483398,2023-10-07
Fulham,1722.31176758,2023-10-07
Girona,1722.27026367,2023-10-07
Wolfsburg,1716.33312988,2023-10-07
Bologna,1716.2980957,2023-10-07
Rennes,1712.08337402,2023-10-07
Freiburg,1711.27648926,2023-10-07
Wolves,1709.79882812,2023-10-07
Torino,1693.8059082,2023-10-07
Burnley,1693.55224609,2023-10-07
Marseille,1692.13183594,2023-10-07
Eint Frankfurt,1689.73937988,2023-10-07
Lille,1688.78088379,2023-10-07
Union Berlin,1687.57348633,2023-10-07
Nice,1686.5802002,2023-10-07
Monaco,1685.875,2023-10-07
Stuttgart,1680.30126953,2023-10-07
Nott'ham Forest,1679.8729248,2023-10-07
Everton,1677.26391602,2023-10-07
Osasuna,1669.19396973,2023-10-07
Valencia,1669.17126465,2023-10-07
Monza,1668.89733887,2023-10-07
Hoffenheim,1666.63476562,2023-10-07
Sassuolo,1662.43566895,2023-10-07
Gladbach,1661.29724121,2023-10-07
Getafe,1661.25378418,2023-10-07
Mallorca,1651.94104004,2023-10-07
Rayo Vallecano,1647.94641113,2023-10-07
Cádiz,1644.99816895,2023-10-07
Bournemouth,1643.37792969,2023-10-07
Lyon,1639.65222168,2023-10-07
Celta Vigo,1637.95837402,2023-10-07
Reims,1632.49963379,2023-10-07
Udinese,1630.63354492,2023-10-07
Montpellier,1623.73876953,2023-10-07
Genoa,1622.31164551,2023-10-07
Hellas Verona,1621.19812012,2023-10-07
Mainz 05,1621.03198242,2023-10-07
Frosinone,1616.55395508,2023-10-07
Köln,1616.35681152,2023-10-07
Brest,1613.90795898,2023-10-07
Lecce,1612.52868652,2023-10-07
Sheffield Utd,1606.29040527,2023-10-07
Granada,1598.86682129,2023-10-07
Strasbourg,1597.54614258,2023-10-07
Toulouse,1596.25891113,2023-10-07
Empoli,1594.05944824,2023-10-07
Luton Town,1588.82507324,2023-10-07
Werder Bremen,1588.7421875,2023-10-07
